video_name,y_var,straightness_ratio,walking_band_energy,arm_angle_var,group
input_ped_2.mp4,10.15717903,2.006536712,7.188133549,115.7416408,pedestrian
input_ped_2.mp4,1.165221395,1.595771357,1.20569394,335.5028706,pedestrian
input_ped_2.mp4,1.885552999,1.731754962,1.760801495,39.14970415,pedestrian
input_ped_3.mp4,15.9936862,1.154688045,7.001089718,659.4654411,pedestrian
input_ped_3.mp4,12.30328569,1.025370331,5.010882685,394.0885039,pedestrian
input_ped_3.mp4,6.663302375,1.160699113,3.873847115,1368.381626,pedestrian
input_ped_1.mp4,3.581100899,1.378958822,4.937468723,1471.089068,pedestrian
input_ped_4.mp4,58.5801967,1.49258115,9.813791699,2646.402794,pedestrian
input_ped_4.mp4,6.47749181,1.158613045,7.729798504,2411.186601,pedestrian
input_ped_4.mp4,2.68377706,1.159870627,3.839006983,189.9091492,pedestrian
input_ped_4.mp4,3.511217625,1.292555712,3.005397311,1807.605506,pedestrian
input_ped_5.mp4,50.91929791,1.311562356,19.28322387,4700.310629,pedestrian
input_ped_5.mp4,40.90453638,1.153478202,27.66686225,54.53707809,pedestrian
input_ped_5.mp4,32.1844667,1.019967663,45.59911196,1483.61055,pedestrian
input_ped_7.mp4,17.59107824,1.020876332,31.00169786,802.6090618,pedestrian
input_ped_7.mp4,17.33818785,1.036027412,22.50549635,2720.768978,pedestrian
input_ped_7.mp4,22.91624084,1.036834375,24.55218172,507.1231158,pedestrian
input_ped_6.mp4,25.54622239,1.264619347,12.98595656,207.3675036,pedestrian
input_ped_6.mp4,12.76471236,1.252544243,12.76089363,617.9306173,pedestrian
input_ped_6.mp4,5.609633776,1.176036651,8.083618988,79.18644269,pedestrian
input_pmd_9.mp4,74.39770372,1.088659025,16.29545815,39.46972455,pedestrian
input_ped_14.mp4,20.67675018,1.03395282,35.12574841,1092.305136,pedestrian
input_ped_8.mp4,1111.355824,1.931818032,54.77326834,2511.623092,pedestrian
input_ped_9.mp4,10.68709345,1.232530033,11.80521319,52.51807077,pedestrian
input_ped_9.mp4,35.18550815,1.095045934,26.15393797,57.26955821,pedestrian
input_ped_11.mp4,15.37665223,1.019108101,22.69602994,175.9739792,pedestrian
input_ped_10.mp4,34.4901494,1.102054455,22.86519042,2122.98085,pedestrian
input_ped_10.mp4,24.56718155,1.284673704,18.56130786,55.58409526,pedestrian
input_ped_10.mp4,17.265426,1.092203246,26.4076704,776.4444404,pedestrian
input_ped_10.mp4,62.59632741,1.068134164,101.3096348,475.5325962,pedestrian
input_ped_10.mp4,71.77348612,1.237055763,46.70924521,594.0717741,pedestrian
input_ped_10.mp4,19.86313384,1.0946881,12.6681348,279.3093316,pedestrian
input_ped_12.mp4,69.5861568,1.057000986,9.444530746,143.1500972,pedestrian
input_ped_12.mp4,8.70463967,1.007281496,10.82590571,78.57338188,pedestrian
input_ped_13.mp4,711.9611315,1.1033706,254.7060473,72.07001131,pedestrian
input_ped_13.mp4,466.4896747,1.364263844,48.12661373,437.1542468,pedestrian
input_ped_13.mp4,35.05805172,1.116034476,12.13244968,1433.496469,pedestrian
input_ped_13.mp4,4377.597013,1.773541054,396.8726491,79.75280254,pedestrian
input_pmd_4.mp4,7.99408858,1.006651305,5.879068859,87.78959553,pmd_rider
input_pmd_6.mp4,1.760515465,1.004468546,0.783258779,98.24204036,pmd_rider
input_pmd_7.mp4,6.604611185,1.08716342,2.549076211,176.6544636,pmd_rider
input_pmd_3.mp4,2.241383793,1.009126243,0.196257099,62.97593287,pmd_rider
input_pmd_2.mp4,1.455199207,1.048943189,0.724542528,362.8637873,pmd_rider
input_pmd_1.mp4,1.665713144,1.03112237,0.489928124,2386.138734,pmd_rider
input_pmd_1.mp4,1.814489117,1.107623387,1.006482522,55.03660476,pmd_rider
input_pmd_8.mp4,2.886674014,1.015498303,1.970477264,1027.393045,pmd_rider
input_pmd_11.mp4,26.7960883,1.040911101,1.53833472,69.55463355,pmd_rider
input_pmd_10.mp4,14.05444683,1.151140467,1.729556509,238.8963777,pmd_rider
input_pmd_13.mp4,3.554031673,1.047168303,1.552702293,295.0918045,pmd_rider
input_pmd_14.mp4,14.34252848,1.058274864,1.538427102,263.3519167,pmd_rider
